,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
114,Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,1.5518087995974639,2,0.2,P
115,Second Class,Consumer,Ohio,East,Office Supplies,Paper,3.177053330014362,3,0.2,P
116,Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,4.871097326636843,6,0.2,P
117,Standard Class,Consumer,Washington,West,Furniture,Tables,6.6689014652122784,3,0.0,P
118,Standard Class,Corporate,Tennessee,South,Office Supplies,Binders,5.0612903848752,1,0.7,L
119,First Class,Consumer,Delaware,East,Furniture,Furnishings,3.8509983035903717,3,0.0,P
120,First Class,Consumer,Delaware,East,Office Supplies,Binders,3.4288125486951286,4,0.0,P
121,First Class,Consumer,Delaware,East,Office Supplies,Storage,5.423009810505355,6,0.0,P
122,First Class,Consumer,Delaware,East,Office Supplies,Envelopes,4.745106026285608,9,0.0,P
123,First Class,Consumer,Delaware,East,Technology,Phones,4.220095767527661,7,0.0,P
124,Second Class,Home Office,Texas,Central,Furniture,Chairs,6.397859223034079,3,0.3,L
125,Standard Class,Consumer,Illinois,Central,Furniture,Tables,6.426002902701853,6,0.5,L
126,Standard Class,Consumer,Arizona,West,Office Supplies,Binders,0.8704561955303556,2,0.7,L
127,Standard Class,Consumer,Arizona,West,Office Supplies,Storage,5.497135437870455,7,0.2,P
128,Second Class,Home Office,California,West,Furniture,Chairs,4.399670069846477,2,0.2,L
129,Second Class,Home Office,California,West,Furniture,Furnishings,5.474620851016429,3,0.0,P
130,First Class,Corporate,Ohio,East,Technology,Phones,4.093844437180419,5,0.4,L
131,First Class,Corporate,Ohio,East,Office Supplies,Paper,4.360598687260262,2,0.2,P
132,First Class,Corporate,Ohio,East,Office Supplies,Fasteners,3.0660043265393226,9,0.2,P
133,Standard Class,Consumer,California,West,Office Supplies,Paper,2.997730276216664,3,0.0,P
134,Standard Class,Consumer,California,West,Office Supplies,Paper,3.56784112573688,1,0.0,P
135,Standard Class,Consumer,California,West,Office Supplies,Art,2.444084655267745,4,0.0,P
136,Standard Class,Consumer,California,West,Office Supplies,Fasteners,1.3912819026309295,2,0.0,P
137,Standard Class,Consumer,California,West,Office Supplies,Binders,4.333046452452163,3,0.2,P
138,Standard Class,Consumer,California,West,Office Supplies,Supplies,4.1878349053094395,6,0.0,P
139,Standard Class,Consumer,California,West,Furniture,Furnishings,3.7639869266007415,14,0.0,P
140,Second Class,Corporate,Pennsylvania,East,Furniture,Furnishings,4.416428061391214,2,0.2,P
141,Standard Class,Corporate,California,West,Office Supplies,Art,2.1770218700187,3,0.0,P
142,Standard Class,Corporate,California,West,Office Supplies,Envelopes,2.3850863145057892,3,0.0,P
143,Standard Class,Corporate,California,West,Office Supplies,Paper,4.967727793084979,3,0.0,P
144,Standard Class,Consumer,Missouri,Central,Office Supplies,Appliances,6.732723090074991,3,0.0,P
145,Standard Class,Consumer,California,West,Office Supplies,Storage,6.510154168430759,7,0.0,P
146,Standard Class,Home Office,Ohio,East,Furniture,Furnishings,4.542102582520517,4,0.2,P
147,Standard Class,Corporate,Wisconsin,Central,Technology,Phones,5.9518137414781895,11,0.0,P
148,Standard Class,Corporate,Wisconsin,Central,Technology,Phones,5.010435274093589,3,0.0,P
149,Standard Class,Corporate,Wisconsin,Central,Furniture,Chairs,7.576527796400428,8,0.0,P
150,Standard Class,Corporate,Wisconsin,Central,Office Supplies,Binders,5.144874769304459,5,0.0,P
151,First Class,Home Office,Arizona,West,Office Supplies,Appliances,5.062088575685172,5,0.2,P
152,First Class,Home Office,Arizona,West,Technology,Phones,5.314111972446677,2,0.2,P
153,First Class,Corporate,California,West,Office Supplies,Paper,4.0669733654259685,7,0.0,P
154,First Class,Corporate,California,West,Office Supplies,Paper,4.658900508409059,4,0.0,P
155,First Class,Corporate,California,West,Office Supplies,Storage,4.392966574712216,6,0.0,P
156,Standard Class,Home Office,Washington,West,Office Supplies,Art,1.891604804197771,3,0.0,P
157,Second Class,Consumer,Washington,West,Furniture,Chairs,6.125925507550437,2,0.2,P
158,Standard Class,Consumer,Oklahoma,Central,Office Supplies,Labels,2.6823904543216326,2,0.0,P
159,Standard Class,Consumer,Oklahoma,Central,Technology,Phones,6.851110850676049,7,0.0,P
160,First Class,Consumer,California,West,Office Supplies,Paper,1.7884205679625405,1,0.0,P
161,Second Class,Consumer,Pennsylvania,East,Technology,Accessories,3.9960699929537604,2,0.2,P
162,Standard Class,Consumer,New Mexico,West,Office Supplies,Envelopes,3.3463891451671604,5,0.0,P
163,Standard Class,Consumer,Washington,West,Office Supplies,Binders,3.3207101307494686,2,0.2,P
164,Standard Class,Consumer,Texas,Central,Office Supplies,Art,2.296164525191123,3,0.2,P
165,Standard Class,Consumer,Texas,Central,Technology,Machines,9.00699356558791,8,0.4,L
166,Standard Class,Consumer,Texas,Central,Office Supplies,Storage,5.6201399621195485,3,0.2,L
167,Standard Class,Consumer,Texas,Central,Furniture,Chairs,7.461674874372679,9,0.3,L
168,Standard Class,Consumer,Texas,Central,Office Supplies,Art,3.4677339054623997,6,0.2,P
169,Standard Class,Consumer,Texas,Central,Office Supplies,Appliances,5.181671184428716,5,0.8,L
170,Standard Class,Consumer,Texas,Central,Technology,Phones,4.969646619018902,3,0.2,P
171,Standard Class,Consumer,California,West,Office Supplies,Paper,3.041661205442391,3,0.0,P
172,Standard Class,Consumer,California,West,Office Supplies,Paper,4.7091697760065765,2,0.0,P
173,Standard Class,Consumer,California,West,Furniture,Chairs,5.829369057358706,7,0.2,P
174,Standard Class,Corporate,Illinois,Central,Office Supplies,Appliances,3.959822202561419,2,0.8,L
175,Standard Class,Corporate,Illinois,Central,Office Supplies,Labels,3.0037004432031678,4,0.2,P
176,Second Class,Consumer,Texas,Central,Office Supplies,Appliances,4.5774289310063665,4,0.8,L
177,Second Class,Consumer,Ohio,East,Furniture,Chairs,5.983437415720596,7,0.3,L
178,Second Class,Consumer,Ohio,East,Office Supplies,Supplies,2.7650604558189897,5,0.2,L
179,Standard Class,Home Office,New York,East,Office Supplies,Art,1.1878434223960523,1,0.0,P
180,Second Class,Corporate,Illinois,Central,Office Supplies,Storage,3.211488606434183,2,0.2,P
181,Second Class,Corporate,Illinois,Central,Technology,Accessories,6.013089043204644,7,0.2,P
182,Second Class,Home Office,Louisiana,South,Technology,Phones,6.222496899842429,4,0.0,P
183,Second Class,Home Office,Louisiana,South,Technology,Phones,5.010301905195018,5,0.0,P
184,Second Class,Home Office,Louisiana,South,Technology,Accessories,3.367295829986474,2,0.0,P
185,Standard Class,Consumer,Connecticut,East,Office Supplies,Binders,1.9685099809725544,2,0.0,P
186,Standard Class,Home Office,California,West,Technology,Accessories,5.175019150203543,8,0.0,P
187,Standard Class,Corporate,Texas,Central,Office Supplies,Storage,3.616953714542347,3,0.2,P
188,Standard Class,Corporate,Texas,Central,Office Supplies,Paper,2.9965319537245554,3,0.2,P
189,First Class,Home Office,New York,East,Furniture,Bookcases,6.801434302229186,4,0.2,P
190,First Class,Home Office,New York,East,Technology,Phones,4.27332721775054,6,0.0,P
191,First Class,Home Office,New York,East,Office Supplies,Paper,3.9481620520440193,8,0.0,P
192,First Class,Home Office,New York,East,Furniture,Bookcases,6.439912513388001,3,0.2,P
193,First Class,Home Office,New York,East,Office Supplies,Art,2.990719731730447,5,0.0,P
194,Standard Class,Corporate,California,West,Office Supplies,Envelopes,2.658859956911438,7,0.0,P
195,Standard Class,Consumer,Ohio,East,Office Supplies,Art,2.0025604973438784,2,0.2,P
196,Standard Class,Consumer,Ohio,East,Office Supplies,Art,1.7997276388772319,3,0.2,P
197,Standard Class,Home Office,New Jersey,East,Office Supplies,Storage,3.8342776568032932,3,0.0,P
198,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Binders,1.0804483180404385,2,0.7,L
199,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,2.776082611494037,3,0.2,P
200,Standard Class,Consumer,Ohio,East,Office Supplies,Paper,3.0793378574087877,3,0.2,P
201,First Class,Consumer,Colorado,West,Furniture,Tables,5.387929525237724,2,0.5,L
202,First Class,Consumer,Colorado,West,Office Supplies,Appliances,0.9555114450274363,1,0.2,P
203,Second Class,Consumer,Texas,Central,Office Supplies,Appliances,4.193948540767548,2,0.8,L
204,Standard Class,Corporate,Tennessee,South,Furniture,Furnishings,3.560136578221211,7,0.2,P
205,Standard Class,Consumer,California,West,Technology,Phones,6.097552797902347,4,0.2,P
206,Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,4.4298639640880415,4,0.0,P
207,Standard Class,Consumer,Michigan,Central,Technology,Phones,4.882650395955276,2,0.0,P
208,Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,2.767576180416237,4,0.0,P
209,Standard Class,Consumer,Michigan,Central,Office Supplies,Fasteners,3.956805148200039,9,0.0,P
210,Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,4.521679875489066,1,0.0,P
211,Second Class,Corporate,Texas,Central,Technology,Accessories,3.0349529867072724,2,0.2,P
212,Standard Class,Corporate,Ohio,East,Office Supplies,Labels,3.164630810015805,2,0.2,P
213,Standard Class,Corporate,Ohio,East,Furniture,Bookcases,6.114677259797142,5,0.5,L
214,Standard Class,Corporate,Ohio,East,Technology,Phones,4.142848971281715,3,0.4,L
215,Standard Class,Corporate,Ohio,East,Technology,Machines,7.080026499922591,9,0.7,L
216,Standard Class,Corporate,Ohio,East,Technology,Accessories,4.495176732606538,2,0.2,P
217,Standard Class,Consumer,California,West,Office Supplies,Storage,4.533244446416503,6,0.0,P
218,Standard Class,Consumer,California,West,Technology,Phones,5.711671276076438,3,0.2,P
219,First Class,Consumer,Ohio,East,Office Supplies,Fasteners,1.7199053654600713,2,0.2,P
220,First Class,Consumer,Ohio,East,Office Supplies,Paper,3.122541120417687,6,0.2,P
221,First Class,Consumer,Ohio,East,Office Supplies,Binders,2.98446908127528,4,0.7,L
222,First Class,Consumer,Ohio,East,Furniture,Furnishings,4.286396403658632,4,0.2,P
223,First Class,Consumer,Ohio,East,Technology,Machines,6.173761103589431,4,0.7,L
224,First Class,Consumer,Ohio,East,Office Supplies,Art,3.302039810128937,2,0.2,P
225,Standard Class,Corporate,Michigan,Central,Office Supplies,Art,0.7884573603642703,1,0.0,P
226,Standard Class,Corporate,Michigan,Central,Furniture,Tables,6.433663303827795,5,0.0,P
227,Standard Class,Corporate,Michigan,Central,Office Supplies,Storage,3.090132948975475,1,0.0,P
228,Standard Class,Consumer,Tennessee,South,Furniture,Chairs,5.084926106676505,2,0.2,L
229,Standard Class,Consumer,Tennessee,South,Furniture,Chairs,5.965366947986109,8,0.2,P
230,Standard Class,Corporate,North Carolina,South,Office Supplies,Binders,2.925738901733456,7,0.7,L
231,Standard Class,Home Office,Florida,South,Furniture,Tables,5.454722645712173,2,0.45,L
232,Standard Class,Home Office,Florida,South,Furniture,Tables,6.430710116227316,3,0.45,L
233,Standard Class,Home Office,Florida,South,Office Supplies,Binders,1.672975933238088,2,0.7,L
234,Standard Class,Home Office,Florida,South,Furniture,Furnishings,5.553238615756335,3,0.2,L
235,Standard Class,Home Office,Florida,South,Technology,Accessories,6.4264496217521385,3,0.2,L
236,Standard Class,Corporate,California,West,Office Supplies,Paper,2.3570732782781154,2,0.0,P
237,Second Class,Consumer,Illinois,Central,Office Supplies,Paper,3.255014871484074,5,0.2,P
238,Second Class,Consumer,Illinois,Central,Furniture,Furnishings,6.039492516118564,5,0.6,L
239,Second Class,Consumer,Illinois,Central,Furniture,Furnishings,2.4585626744483986,3,0.6,L
240,Second Class,Consumer,Illinois,Central,Technology,Phones,3.4652357777580445,2,0.2,P
241,Second Class,Consumer,Illinois,Central,Furniture,Tables,5.177420111741081,5,0.5,L
242,Second Class,Consumer,Illinois,Central,Furniture,Furnishings,1.397234301158225,3,0.6,L
243,Second Class,Consumer,Illinois,Central,Office Supplies,Art,2.0025604973438784,2,0.2,P
244,Second Class,Home Office,Minnesota,Central,Furniture,Chairs,7.601832027360015,7,0.0,P
245,Second Class,Home Office,Minnesota,Central,Office Supplies,Storage,5.116315758565002,2,0.0,P
246,Second Class,Home Office,Minnesota,Central,Office Supplies,Paper,3.8686978806897723,6,0.0,P
247,Second Class,Home Office,Minnesota,Central,Office Supplies,Appliances,7.3153847099196785,5,0.0,P
248,Second Class,Home Office,Minnesota,Central,Office Supplies,Paper,3.255014871484074,4,0.0,P
249,Second Class,Consumer,California,West,Furniture,Chairs,5.773209029866548,2,0.2,P
250,Standard Class,Consumer,California,West,Office Supplies,Paper,2.0294631718735947,1,0.0,P
251,Standard Class,Consumer,California,West,Technology,Accessories,8.115930241859775,13,0.0,P
252,First Class,Consumer,New York,East,Office Supplies,Storage,4.389250479763201,6,0.0,P
253,First Class,Consumer,New York,East,Office Supplies,Envelopes,5.891423192927756,4,0.0,P
254,Standard Class,Corporate,Illinois,Central,Furniture,Furnishings,2.4958465898263347,9,0.6,L
255,Standard Class,Corporate,Illinois,Central,Office Supplies,Storage,4.411197011973662,2,0.2,L
256,Standard Class,Corporate,Illinois,Central,Office Supplies,Storage,3.987501466604052,5,0.2,P
257,Standard Class,Corporate,Illinois,Central,Technology,Phones,6.473742537229105,6,0.2,P
258,Second Class,Consumer,New York,East,Technology,Accessories,3.0140632302387145,3,0.0,P
259,Second Class,Consumer,New York,East,Office Supplies,Storage,5.400648297645499,3,0.0,P
260,Second Class,Consumer,New York,East,Office Supplies,Binders,2.8633430855082453,5,0.2,P
261,Standard Class,Corporate,Texas,Central,Office Supplies,Appliances,0.48489224173948625,2,0.8,L
262,Second Class,Corporate,Texas,Central,Technology,Machines,8.026164312576185,3,0.4,L
263,Second Class,Corporate,Texas,Central,Technology,Machines,7.831997513699912,7,0.4,L
264,Standard Class,Consumer,Illinois,Central,Technology,Phones,5.793696302125,4,0.2,P
265,Standard Class,Consumer,California,West,Technology,Accessories,4.380775852772229,2,0.0,P
266,Standard Class,Corporate,North Carolina,South,Office Supplies,Art,2.6401995341940356,3,0.2,P
267,Standard Class,Consumer,New Jersey,East,Office Supplies,Fasteners,2.0228711901914416,6,0.0,P
268,Standard Class,Corporate,Ohio,East,Office Supplies,Storage,3.6165237919217956,1,0.2,L
269,Standard Class,Corporate,Ohio,East,Office Supplies,Envelopes,4.053105814205503,3,0.2,P
270,Second Class,Corporate,California,West,Office Supplies,Storage,6.587329604861374,4,0.0,P
271,First Class,Consumer,California,West,Technology,Accessories,5.346774141816231,7,0.0,P
272,First Class,Consumer,California,West,Furniture,Furnishings,1.6639260977181702,3,0.0,P
273,First Class,Consumer,California,West,Office Supplies,Binders,2.390595970316759,3,0.2,P
274,First Class,Corporate,California,West,Office Supplies,Paper,2.1770218700187,2,0.0,P
275,First Class,Corporate,California,West,Office Supplies,Art,1.7884205679625405,1,0.0,P
276,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,2.4551344914543303,2,0.2,P
277,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,2.900102042538741,4,0.2,P
278,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Storage,4.089533005224879,6,0.2,P
279,Standard Class,Corporate,Pennsylvania,East,Office Supplies,Labels,3.212455257065278,3,0.2,P
280,Second Class,Consumer,Texas,Central,Office Supplies,Binders,0.7323678937132266,5,0.8,L
281,Second Class,Consumer,Texas,Central,Technology,Phones,7.016071422465596,7,0.2,P
282,Standard Class,Consumer,California,West,Furniture,Tables,6.945859985015683,5,0.2,P
283,Standard Class,Consumer,Oregon,West,Office Supplies,Paper,4.954135486856771,5,0.2,P
284,Standard Class,Consumer,Oregon,West,Technology,Accessories,5.479805242593414,5,0.2,P
285,Standard Class,Consumer,Oregon,West,Office Supplies,Paper,3.4373364282780288,6,0.2,P
286,Second Class,Corporate,Florida,South,Office Supplies,Binders,5.5375625874081456,7,0.7,L
287,Second Class,Corporate,Florida,South,Office Supplies,Appliances,5.270576111566312,2,0.2,P
288,Second Class,Corporate,Florida,South,Office Supplies,Supplies,6.868473763980461,5,0.2,L
289,Second Class,Home Office,Ohio,East,Office Supplies,Fasteners,2.949478889036529,7,0.2,P
290,Second Class,Home Office,Ohio,East,Office Supplies,Labels,2.917554492489967,8,0.2,P
291,Second Class,Home Office,Ohio,East,Technology,Accessories,5.545114942526356,2,0.2,P
292,Second Class,Home Office,Ohio,East,Furniture,Bookcases,4.465563231601674,3,0.5,L
293,First Class,Corporate,Colorado,West,Furniture,Furnishings,5.705168180788504,8,0.2,P
294,First Class,Corporate,Colorado,West,Furniture,Chairs,5.439608573784,3,0.2,P
295,First Class,Corporate,Colorado,West,Furniture,Furnishings,5.386108439495758,3,0.2,L
296,First Class,Corporate,Colorado,West,Office Supplies,Binders,4.364371699435161,5,0.7,L
297,First Class,Corporate,Colorado,West,Office Supplies,Fasteners,3.3160751282453202,3,0.2,P
298,Standard Class,Corporate,New Jersey,East,Office Supplies,Paper,3.4781584227982836,5,0.0,P
299,Standard Class,Corporate,New Jersey,East,Office Supplies,Storage,6.987009983955389,8,0.0,P
300,Standard Class,Corporate,New Jersey,East,Office Supplies,Paper,4.041471072615033,3,0.0,P
301,Standard Class,Corporate,New Jersey,East,Furniture,Furnishings,4.351567427189173,4,0.0,P
